"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{d521c0fd-1732-4c15-8b98-a41b2a95bbc4}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN","Win 10 Pre-Release Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X20-35463","Volume","true","1000000","1009999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{666dd2be-3c83-4756-9a1b-8ffb7067c8d9}","2998","msft:rm/algorithm/pkey/2009","Education","Win Next Pre-Release Education Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X19-81074","Volume","true","0","9999","10000"
"","","","","","","","[TH]res-v2998","Volume","true","10000","999999999","999990000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{29d0b60f-66da-4858-bcaf-9eb513cd310d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X18-95346","Volume","true","339000000","353999999","15000000"
"","","","","","","","[Blue]X18-95347","Volume","true","110000000","110699999","700000"
"","","","","","","","[Blue]X18-95348","Volume","true","10013000","10017999","5000"
"","","","","","","","[Blue]X18-95349","Volume","true","10600000","10699999","100000"
"","","","","","","","[Blue]X18-95350","Volume","true","10018000","10022999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{4614b66f-a1d7-441c-9731-23f22d0ff4e5}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X18-95351","Volume","true","109500000","109999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"{dcb88f6f-b090-405b-850e-dabcccf3693f}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X18-90705","Volume","true","271000000","310999999","40000000"
"","","","","","","","[Blue]X18-90706","Volume","true","311000000","330999999","20000000"
"","","","","","","","[Blue]X18-90707","Volume","true","109000000","109499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{acf1b4fd-1c55-4f2d-a60b-415ac958ad88}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X18-96163","Volume","true","192000000","192499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"{a40c3047-54c3-4bf9-8f09-fb7146cfcb02}","204","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;Education;EducationN;ProfessionalS;ProfessionalSN;EnterpriseS;EnterpriseSN","WinNext Beta Enterprise;EnterpriseN;Professional;ProfessionalN;Education;EducationN;ProfessionalS;ProfessionalSN;EnterpriseS;EnterpriseSN Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X17-53293","Volume","true","10020000","10029999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{99cb2a2c-f7ee-48e9-98b0-ae72906c6d45}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win Next Edition Next Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X17-13830","Volume","true","10001900","10001999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{c609957a-dc23-48b3-8c6b-31b303479de2}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","WinServer Next ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X17-53913","Volume","true","21001500","21011499","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
